Category,State/UT,By Consuming Sleeping Pills_Male,By Consuming Sleeping Pills_Female,By Consuming Sleeping Pills_Trans,By Consuming Sleeping Pills_Total,By Drowning_Male,By Drowning_Female,By Drowning_Trans,By Drowning_Total,By Fire/Self Immolation_Male,By Fire/Self Immolation_Female,By Fire/Self Immolation_Trans,By Fire/Self Immolation_Total,By Firearms_Male,By Firearms_Female,By Firearms_Trans,By Firearms_Total,By Hanging_Male,By Hanging_Female,By Hanging_Trans,By Hanging_Total,By Poison (Total)_Male,By Poison (Total)_Female,By Poison (Total)_Trans,By Poison (Total)_Total,By Poison (By Consuming Insecticides)_Male,By Poison (By Consuming Insecticides)_Female,By Poison (By Consuming Insecticides)_Trans,By Poison (By Consuming Insecticides)_Total,By Poison (By Consuming other Poison)_Male,By Poison (By Consuming other Poison)_Female,By Poison (By Consuming other Poison)_Trans,By Poison (By Consuming other Poison)_Total,By Self Inflicting  Injury_Male,By Self Inflicting  Injury_Female,By Self Inflicting  Injury_Trans,By Self Inflicting  Injury_Total,Jumping (Total)_Male,Jumping (Total)_Female,Jumping (Total)_Trans,Jumping (Total)_Total,Jumping (from Building)_Male,Jumping (from Building)_Female,Jumping (from Building)_Trans,Jumping (from Building)_Total,Jumping (from Other Sites)_Male,Jumping (from Other Sites)_Female,Jumping (from Other Sites)_Trans,Jumping (from Other Sites)_Total,Jumping (by Jumping off Moving Trains/Vehicles)_Male,Jumping (by Jumping off Moving Trains/Vehicles)_Female,Jumping (by Jumping off Moving Trains/Vehicles)_Trans,Jumping (by Jumping off Moving Trains/Vehicles)_Total,By Coming under Running Vehicles/Trains_Male,By Coming under Running Vehicles/Trains_Female,By Coming under Running Vehicles/Trains_Trans,By Coming under Running Vehicles/Trains_Total,By Touching Electric Wire_Male,By Touching Electric Wire_Female,By Touching Electric Wire_Trans,By Touching Electric Wire_Total,By Other Means_Male,By Other Means_Female,By Other Means_Trans,By Other Means_Total,Total_Male,Total_Female,Total_Trans,Total_Total,Total population
State,TRIPURA,0,0,0,0,29,1,0,30,28,36,0,64,1,0,0,1,377,156,0,533,55,32,0,87,19,22,0,41,36,10,0,46,0,0,0,0,5,7,0,12,0,0,0,0,0,3,0,3,5,4,0,9,0,0,0,0,0,0,0,0,1,0,0,1,496,232,0,728,4169794
State,UTTAR PRADESH,37,25,0,62,124,65,0,189,166,268,0,434,84,53,0,137,1968,1299,0,3267,550,359,0,909,271,160,0,431,279,199,0,478,43,18,0,61,94,20,0,114,13,13,0,26,3,0,0,3,78,7,0,85,22,8,0,30,18,7,0,25,127,109,0,236,3233,2231,0,5464,237882725
State,UTTARAKHAND,2,0,0,2,3,1,0,4,0,1,0,1,0,0,0,0,160,71,0,231,163,105,0,268,133,89,0,222,30,16,0,46,1,1,0,2,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,335,181,0,516,11250858
State,WEST BENGAL,7,12,0,19,339,125,0,464,80,223,0,303,2,0,0,2,3656,2171,0,5827,1775,1113,0,2888,574,407,0,981,1201,706,0,1907,4,1,0,5,12,7,0,19,8,5,0,13,0,0,0,0,4,2,0,6,36,6,0,42,26,6,0,32,1832,1232,0,3064,7769,4896,0,12665,99609303
State,TOTAL (STATES),465,260,0,725,4962,2218,0,7180,1917,3280,2,5199,276,122,0,398,52323,19665,11,71999,24399,11206,4,35609,16809,7164,3,23976,7590,4042,1,11633,580,224,0,804,1559,434,0,1993,667,286,0,953,159,31,0,190,733,117,0,850,2874,442,0,3316,579,159,0,738,5249,2441,0,7690,95183,40451,17,135651,1348682448
UT,A & NISLANDS,0,0,0,0,3,0,0,3,2,8,0,10,1,0,0,1,119,34,0,153,5,9,0,14,0,1,0,1,5,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,51,0,181,417036
UT,CHANDIGARH,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,75,29,0,104,9,7,0,16,0,0,0,0,9,7,0,16,0,0,0,0,3,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,93,38,0,131,1158473
UT,D & N HAVELI,0,1,0,1,1,1,0,2,0,1,0,1,0,0,0,0,58,19,0,77,13,1,0,14,9,1,0,10,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,23,0,95,307862
UT,DAMAN & DIU,0,0,0,0,2,0,0,2,1,1,0,2,0,0,0,0,25,15,0,40,1,1,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,17,0,46,307862
UT,DELHI (UT),22,5,0,27,13,3,0,16,17,5,0,22,25,3,0,28,1329,593,0,1922,126,45,0,171,54,21,0,75,72,24,0,96,14,10,0,24,25,13,0,38,25,12,0,37,0,0,0,0,0,1,0,1,17,4,0,21,11,3,0,14,159,84,0,243,1758,768,0,2526,18710922
UT,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73183
UT,PUDUCHERRY,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,269,65,0,334,41,15,0,56,0,0,0,0,41,15,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,65,0,100,348,145,0,493,1413542
UT,TOTAL (UTs),22,6,0,28,24,4,0,28,20,15,0,35,27,3,0,30,1875,755,0,2630,195,78,0,273,64,24,0,88,131,54,0,185,14,10,0,24,28,13,0,41,28,12,0,40,0,0,0,0,0,1,0,1,17,4,0,21,11,3,0,14,197,151,0,348,2430,1042,0,3472,22388880
TOTAL (ALL INDIA),TOTAL (ALL INDIA),487,266,0,753,4986,2222,0,7208,1937,3295,2,5234,303,125,0,428,54198,20420,11,74629,24594,11284,4,35882,16873,7188,3,24064,7721,4096,1,11818,594,234,0,828,1587,447,0,2034,695,298,0,993,159,31,0,190,733,118,0,851,2891,446,0,3337,590,162,0,752,5446,2592,0,8038,97613,41493,17,139123,1371071328
